Host Name,Number of Stars,Number of Planets,Radius (Thousands of Astronomical Units),Host (Galaxy),,,,,,,,,,,
Kepler-246,1,2,120.032,Andromeda Galaxy,,,,,,,,,,,
Kepler-247,1,3,217.602,Malin 1,,,,,,,,,,,
Kepler-248,1,2,250.125,Starfish Galaxy,,,,,,,,,,,
Kepler-249,1,3,219.625,Condor Galaxy,,,,,,,,,,,
Kepler-25,2,3,115.464,Mice Galaxies,,,,,,,,,,,
Kepler-250,1,3,45.993,Sunflower Galaxy,,,,,,,,,,,
Kepler-251,1,4,19.183,Grasshopper,,,,,,,,,,,
Kepler-252,1,2,286.295,Sculptor Galaxy,,,,,,,,,,,
Kepler-253,1,3,246.209,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-254,1,3,232.891,Knife Edge Galaxy,,,,,,,,,,,
Kepler-255,1,3,161.49,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-256,1,4,5.58,Antennae Galaxies,,,,,,,,,,,
Kepler-257,1,3,258.058,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-258,1,2,120.579,UFO Galaxy,,,,,,,,,,,
Kepler-259,1,2,232.616,Condor Galaxy,,,,,,,,,,,
Kepler-26,1,4,12.026,Cosmos Redshift 7,,,,,,,,,,,
Kepler-260,1,2,238.285,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-261,1,2,254.781,Mice Galaxies,,,,,,,,,,,
Kepler-262,1,2,207.546,Pinwheel Galaxy,,,,,,,,,,,
Kepler-263,1,2,111.311,Mice Galaxies,,,,,,,,,,,
Kepler-264,1,2,90.535,Mayall's Object,,,,,,,,,,,
Kepler-265,1,4,32.756,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-266,1,2,298.977,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-267,1,3,218.777,Butterfly Galaxies,,,,,,,,,,,
Kepler-268,1,2,57.663,Hidden Galaxy,,,,,,,,,,,
Kepler-269,1,2,243.074,Sunflower Galaxy,,,,,,,,,,,
Kepler-27,1,3,71.188,Godzilla Galaxy,,,,,,,,,,,
Kepler-270,1,2,76.897,Spider Galaxy,,,,,,,,,,,
Kepler-271,1,3,132.891,Meathook Galaxy,,,,,,,,,,,
Kepler-272,1,3,195.096,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-273,1,2,163.147,Antennae Galaxies,,,,,,,,,,,
Kepler-274,1,2,274.631,Sombrero Galaxy,,,,,,,,,,,
Kepler-275,1,3,275.714,Cosmos Redshift 7,,,,,,,,,,,
Kepler-276,1,3,82.165,Eye of God,,,,,,,,,,,
Kepler-277,1,2,102.232,Whale Galaxy,,,,,,,,,,,
Kepler-278,1,2,57.028,Fireworks Galaxy,,,,,,,,,,,
Kepler-279,1,3,79.036,Mice Galaxies,,,,,,,,,,,
Kepler-28,1,2,45.359,Alcyoneus,,,,,,,,,,,
Kepler-280,1,2,198.329,Grasshopper,,,,,,,,,,,
Kepler-281,1,3,149.581,Andromeda Galaxy,,,,,,,,,,,
Kepler-282,1,4,131.271,UFO Galaxy,,,,,,,,,,,
Kepler-283,1,2,252.693,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-284,1,2,2.956,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-285,1,2,283.92,Large Magellanic Cloud,,,,,,,,,,,
Kepler-286,1,4,247.473,Antennae Galaxies,,,,,,,,,,,
Kepler-287,1,2,212.436,Hidden Galaxy,,,,,,,,,,,
Kepler-288,1,3,81.68,Hidden Galaxy,,,,,,,,,,,
Kepler-289,1,3,60.375,Fried Egg Galaxy,,,,,,,,,,,
Kepler-29,1,2,255.708,Sunflower Galaxy,,,,,,,,,,,
Kepler-290,1,3,2.673,Spiderweb Galaxy,,,,,,,,,,,
Kepler-291,1,2,297.231,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-292,1,5,279.067,Andromeda Galaxy,,,,,,,,,,,
Kepler-293,1,2,236.929,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-294,1,2,12.016,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-295,1,3,230.396,Grasshopper,,,,,,,,,,,
Kepler-296,2,5,79.802,Comet Galaxy,,,,,,,,,,,
Kepler-297,1,3,24.606,Cartwheel Galaxy,,,,,,,,,,,
Kepler-298,1,3,197.811,Eye of Sauron,,,,,,,,,,,
Kepler-299,1,4,163.72,Eye of God,,,,,,,,,,,
Kepler-30,1,3,28.675,Paramecium Galaxy,,,,,,,,,,,
Kepler-300,1,2,160.778,Circinus Galaxy,,,,,,,,,,,
Kepler-301,1,3,123.949,Fireworks Galaxy,,,,,,,,,,,
Kepler-302,1,2,24.951,Fireworks Galaxy,,,,,,,,,,,
Kepler-303,1,2,255.998,Grasshopper,,,,,,,,,,,
Kepler-304,1,4,220.028,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-305,1,4,159.866,Skyrocket Galaxy,,,,,,,,,,,
Kepler-306,1,4,293.376,Meathook Galaxy,,,,,,,,,,,
Kepler-307,1,2,179.982,Starfish Galaxy,,,,,,,,,,,
Kepler-308,1,2,271.112,Bear Paw Galaxy,,,,,,,,,,,
Kepler-309,1,2,298.538,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-31,1,3,94.89,Andromeda Galaxy,,,,,,,,,,,
Kepler-310,1,3,96.478,Godzilla Galaxy,,,,,,,,,,,
Kepler-311,1,3,258.552,Cosmos Redshift 7,,,,,,,,,,,
Kepler-312,1,2,237.616,Circinus Galaxy,,,,,,,,,,,
Kepler-313,1,2,228.769,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-314,1,2,198.88,Fried Egg Galaxy,,,,,,,,,,,
Kepler-315,1,2,41.245,Godzilla Galaxy,,,,,,,,,,,
Kepler-316,1,2,47.232,Eye of God,,,,,,,,,,,
Kepler-317,1,2,227.611,Mayall's Object,,,,,,,,,,,
Kepler-318,1,2,152.962,Cosmos Redshift 7,,,,,,,,,,,
Kepler-319,1,3,202.787,Antennae Galaxies,,,,,,,,,,,
Kepler-32,1,5,132.725,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-320,1,2,109.493,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-321,1,2,58.076,Eye of Sauron,,,,,,,,,,,
Kepler-322,1,2,5.77,Grasshopper,,,,,,,,,,,
Kepler-323,1,2,30.324,Skyrocket Galaxy,,,,,,,,,,,
Kepler-325,1,3,97.282,Godzilla Galaxy,,,,,,,,,,,
Kepler-326,1,3,33.207,Sculptor Galaxy,,,,,,,,,,,
Kepler-327,1,3,29.944,Godzilla Galaxy,,,,,,,,,,,
Kepler-328,1,2,125.145,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-329,1,2,142.212,Bear Paw Galaxy,,,,,,,,,,,
Kepler-33,1,5,232.057,Large Magellanic Cloud,,,,,,,,,,,
Kepler-330,1,2,55.814,Whirlpool Galaxy,,,,,,,,,,,
Kepler-331,1,3,143.09,Large Magellanic Cloud,,,,,,,,,,,
Kepler-332,1,3,101.456,Fried Egg Galaxy,,,,,,,,,,,
Kepler-333,2,2,282.6,Hoag's Object,,,,,,,,,,,
Kepler-334,1,3,1.684,Barnard's Galaxy,,,,,,,,,,,
Kepler-335,1,2,231.264,Cigar Galaxy,,,,,,,,,,,
Kepler-336,1,3,193.625,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-337,1,2,151.102,Cartwheel Galaxy,,,,,,,,,,,
Kepler-338,1,4,225.005,Tadpole Galaxy,,,,,,,,,,,
Kepler-339,1,3,23.863,Whale Galaxy,,,,,,,,,,,
Kepler-34,2,1,250.24,Comet Galaxy,,,,,,,,,,,
Kepler-340,1,2,48.158,UFO Galaxy,,,,,,,,,,,
Kepler-341,1,4,180.231,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-342,1,4,140.324,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-343,1,2,42.357,Meathook Galaxy,,,,,,,,,,,
Kepler-344,1,2,298.137,Mice Galaxies,,,,,,,,,,,
Kepler-345,1,2,46.345,Grasshopper,,,,,,,,,,,
Kepler-346,1,2,27.513,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-347,1,3,108.334,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-348,1,2,103.648,Knife Edge Galaxy,,,,,,,,,,,
Kepler-349,1,2,130.908,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-35,2,1,181.166,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-350,1,3,108.851,Eye of Sauron,,,,,,,,,,,
Kepler-351,1,3,147.866,Mayall's Object,,,,,,,,,,,
Kepler-352,1,3,264.056,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-353,2,2,105.723,Eye of Sauron,,,,,,,,,,,
Kepler-354,1,3,55.853,Sunflower Galaxy,,,,,,,,,,,
Kepler-355,1,2,213.836,Meathook Galaxy,,,,,,,,,,,
Kepler-356,1,2,174.73,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-357,1,3,206.841,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-358,1,2,65.076,#N/A,,,,,,,,,,,
Kepler-359,1,3,45.708,Knife Edge Galaxy,,,,,,,,,,,
Kepler-36,1,2,7.675,Skyrocket Galaxy,,,,,,,,,,,
Kepler-360,1,2,217.96,Whirlpool Galaxy,,,,,,,,,,,
Kepler-361,1,2,38.697,Malin 1,,,,,,,,,,,
Kepler-362,1,2,202.687,Cartwheel Galaxy,,,,,,,,,,,
Kepler-363,1,3,59.939,Meathook Galaxy,,,,,,,,,,,
Kepler-364,1,2,132.125,Sunflower Galaxy,,,,,,,,,,,
Kepler-365,1,2,249.448,UFO Galaxy,,,,,,,,,,,
Kepler-366,1,2,260.303,Sunflower Galaxy,,,,,,,,,,,
Kepler-367,1,2,71.887,Godzilla Galaxy,,,,,,,,,,,
Kepler-368,1,2,213.504,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-369,1,2,175.02,Hidden Galaxy,,,,,,,,,,,
Kepler-37,1,4,8.543,Meathook Galaxy,,,,,,,,,,,
Kepler-370,1,2,125.253,Cocoon Galaxy,,,,,,,,,,,
Kepler-371,1,2,215.854,Butterfly Galaxies,,,,,,,,,,,
Kepler-372,1,3,109.394,Large Magellanic Cloud,,,,,,,,,,,
Kepler-373,1,2,172.651,Milky Way,,,,,,,,,,,
Kepler-374,1,3,214.295,Sombrero Galaxy,,,,,,,,,,,
Kepler-375,1,2,262.163,Porpoise Galaxy,,,,,,,,,,,
Kepler-376,1,2,15.309,Grasshopper,,,,,,,,,,,
Kepler-377,1,2,139.626,Helix Galaxy,,,,,,,,,,,
Kepler-378,1,2,124.091,Cocoon Galaxy,,,,,,,,,,,
Kepler-379,1,2,63.294,Whirlpool Galaxy,,,,,,,,,,,
Kepler-38,2,1,207.355,Cartwheel Galaxy,,,,,,,,,,,
Kepler-380,1,2,277.304,Sunflower Galaxy,,,,,,,,,,,
Kepler-381,1,3,148.979,Circinus Galaxy,,,,,,,,,,,
Kepler-382,1,2,261.445,Condor Galaxy,,,,,,,,,,,
Kepler-383,1,2,109.306,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-384,1,2,5.344,Comet Galaxy,,,,,,,,,,,
Kepler-385,1,3,259.909,Comet Galaxy,,,,,,,,,,,
Kepler-386,1,2,62.129,Circinus Galaxy,,,,,,,,,,,
Kepler-387,1,2,108.249,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-388,1,2,103.313,Meathook Galaxy,,,,,,,,,,,
Kepler-389,1,2,226.35,Medusa Merger,,,,,,,,,,,
Kepler-39,1,1,105.048,Spider Galaxy,,,,,,,,,,,
Kepler-390,2,2,283.294,Knife Edge Galaxy,,,,,,,,,,,
Kepler-391,1,2,0.502,Blinking Galaxy,,,,,,,,,,,
Kepler-392,1,2,129.768,Blinking Galaxy,,,,,,,,,,,
Kepler-393,1,2,156.537,Hoag's Object,,,,,,,,,,,
Kepler-394,1,3,285.952,Skyrocket Galaxy,,,,,,,,,,,
Kepler-395,1,2,51.732,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-396,1,2,250.147,Black Eye Galaxy,,,,,,,,,,,
Kepler-397,1,2,186.928,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-398,1,3,273.882,Backward Galaxy,,,,,,,,,,,
Kepler-399,1,3,21.089,Backward Galaxy,,,,,,,,,,,
Kepler-4,1,1,140.478,Tadpole Galaxy,,,,,,,,,,,
Kepler-40,1,1,26.603,UFO Galaxy,,,,,,,,,,,
Kepler-400,1,2,124.864,Eye of God,,,,,,,,,,,
Kepler-401,1,3,148.115,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-402,1,4,124.027,Bode's Galaxy,,,,,,,,,,,
Kepler-403,1,3,110.699,Mice Galaxies,,,,,,,,,,,
Kepler-404,1,2,141.45,Comet Galaxy,,,,,,,,,,,
Kepler-405,1,2,160.857,Butterfly Galaxies,,,,,,,,,,,
Kepler-406,1,2,10.075,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-407,1,2,173.977,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-408,1,1,117.264,Milky Way,,,,,,,,,,,
Kepler-409,1,1,265.23,Paramecium Galaxy,,,,,,,,,,,
Kepler-41,1,1,153.556,Bear Paw Galaxy,,,,,,,,,,,
Kepler-410 A,2,1,151.831,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-411,2,4,24.529,Butterfly Galaxies,,,,,,,,,,,
Kepler-412,1,1,122.179,Malin 1,,,,,,,,,,,
Kepler-413,2,1,189.739,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-414,1,2,115.701,Fried Egg Galaxy,,,,,,,,,,,
Kepler-415,1,2,110.945,Sculptor Galaxy,,,,,,,,,,,
Kepler-416,1,3,62.256,Black Eye Galaxy,,,,,,,,,,,
Kepler-417,1,2,206.208,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-418,1,2,231.76,Porpoise Galaxy,,,,,,,,,,,
Kepler-419,1,2,134.8,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-42,1,3,248.217,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-421,1,1,206.57,Sombrero Galaxy,,,,,,,,,,,
Kepler-422,1,1,227.332,Large Magellanic Cloud,,,,,,,,,,,
Kepler-423,1,1,3.945,Meathook Galaxy,,,,,,,,,,,
Kepler-424,1,2,86.348,Black Eye Galaxy,,,,,,,,,,,
Kepler-425,1,1,181.243,Mice Galaxies,,,,,,,,,,,
Kepler-426,1,1,34.748,Mayall's Object,,,,,,,,,,,
Kepler-427,1,1,54.328,Skyrocket Galaxy,,,,,,,,,,,
Kepler-428,1,1,203.187,Sculptor Galaxy,,,,,,,,,,,
Kepler-43,1,1,55.106,Medusa Merger,,,,,,,,,,,
Kepler-430,1,2,277.306,Triangulum Galaxy,,,,,,,,,,,
Kepler-431,1,3,176.232,Grasshopper,,,,,,,,,,,
Kepler-432,2,2,10.597,Hidden Galaxy,,,,,,,,,,,
Kepler-433,1,1,274.027,Large Magellanic Cloud,,,,,,,,,,,
Kepler-434,1,1,190.274,Backward Galaxy,,,,,,,,,,,
Kepler-435,1,1,158.847,Blinking Galaxy,,,,,,,,,,,
Kepler-436,1,2,198.753,Circinus Galaxy,,,,,,,,,,,
Kepler-437,1,1,49.665,Blinking Galaxy,,,,,,,,,,,
Kepler-438,1,1,274.42,Helix Galaxy,,,,,,,,,,,
Kepler-439,1,1,183.672,Mice Galaxies,,,,,,,,,,,
Kepler-44,1,1,107.199,Hoag's Object,,,,,,,,,,,
Kepler-440,1,1,73.92,Condor Galaxy,,,,,,,,,,,
Kepler-441,1,1,247.112,Eye of God,,,,,,,,,,,
Kepler-442,1,1,25.873,Grasshopper,,,,,,,,,,,
Kepler-443,1,1,126.465,Tadpole Galaxy,,,,,,,,,,,
Kepler-444,3,5,11.047,Sculptor Galaxy,,,,,,,,,,,
Kepler-445,1,3,63.518,Fried Egg Galaxy,,,,,,,,,,,
Kepler-446,1,3,297.184,Medusa Merger,,,,,,,,,,,
Kepler-447,1,1,140.121,Mice Galaxies,,,,,,,,,,,
Kepler-449,1,2,71.611,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-45,1,1,77.446,Cigar Galaxy,,,,,,,,,,,
Kepler-450,1,3,71.593,Fireworks Galaxy,,,,,,,,,,,
Kepler-452,1,1,18.938,Fireworks Galaxy,,,,,,,,,,,
Kepler-453,2,1,283.769,Cocoon Galaxy,,,,,,,,,,,
Kepler-454,2,3,137.131,Helix Galaxy,,,,,,,,,,,
Kepler-46,1,3,120.787,Circinus Galaxy,,,,,,,,,,,
Kepler-461,1,1,180.241,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-462,1,2,92.628,Mayall's Object,,,,,,,,,,,
Kepler-463,1,1,245.001,Cosmos Redshift 7,,,,,,,,,,,
Kepler-464,1,1,273.537,Condor Galaxy,,,,,,,,,,,
Kepler-465,1,1,254.633,Mayall's Object,,,,,,,,,,,
Kepler-466,1,2,299.561,Andromeda Galaxy,,,,,,,,,,,
Kepler-467,1,1,92.684,Circinus Galaxy,,,,,,,,,,,
Kepler-468,1,1,82.293,Helix Galaxy,,,,,,,,,,,
Kepler-47,2,3,204.137,Backward Galaxy,,,,,,,,,,,
Kepler-471,1,1,97.941,Godzilla Galaxy,,,,,,,,,,,
Kepler-472,1,1,105.95,Godzilla Galaxy,,,,,,,,,,,
Kepler-473,1,1,29.935,Eye of Sauron,,,,,,,,,,,
Kepler-474,1,1,203.826,Hidden Galaxy,,,,,,,,,,,
Kepler-475,1,1,202.374,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-476,1,1,108.558,Hidden Galaxy,,,,,,,,,,,
Kepler-477,2,1,33.005,Barnard's Galaxy,,,,,,,,,,,
Kepler-478,1,1,217.622,Eye of Sauron,,,,,,,,,,,
Kepler-479,1,1,109.053,Starfish Galaxy,,,,,,,,,,,
Kepler-48,1,5,214.259,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-480,1,1,206.576,Antennae Galaxies,,,,,,,,,,,
Kepler-481,1,1,82.056,Sunflower Galaxy,,,,,,,,,,,
Kepler-482,1,1,180.097,Hoag's Object,,,,,,,,,,,
Kepler-483,1,1,127.714,Black Eye Galaxy,,,,,,,,,,,
Kepler-484,1,1,193.319,Cartwheel Galaxy,,,,,,,,,,,
Kepler-485,1,1,35.502,Sombrero Galaxy,,,,,,,,,,,
Kepler-487,1,3,53.9,Cocoon Galaxy,,,,,,,,,,,
Kepler-489,1,1,151.072,UFO Galaxy,,,,,,,,,,,
Kepler-49,1,4,73.181,Sunflower Galaxy,,,,,,,,,,,
Kepler-490,1,1,97.302,Hoag's Object,,,,,,,,,,,
Kepler-491,1,1,11.23,Large Magellanic Cloud,,,,,,,,,,,
Kepler-493,1,1,41.432,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-495,1,2,75.626,Milky Way,,,,,,,,,,,
Kepler-496,1,1,235.491,Black Eye Galaxy,,,,,,,,,,,
Kepler-497,1,1,298.294,Meathook Galaxy,,,,,,,,,,,
Kepler-498,1,1,186.586,Backward Galaxy,,,,,,,,,,,
Kepler-499,1,1,14.91,Small Magellanic Cloud,,,,,,,,,,,
Kepler-5,1,1,113.724,Butterfly Galaxies,,,,,,,,,,,
Kepler-50,1,2,291.046,Bear Paw Galaxy,,,,,,,,,,,
Kepler-500,1,1,163.445,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-501,1,2,7.068,Cigar Galaxy,,,,,,,,,,,
Kepler-502,1,1,85.167,Comet Galaxy,,,,,,,,,,,
Kepler-504,2,1,167.047,Butterfly Galaxies,,,,,,,,,,,
Kepler-505,1,1,153.025,Hidden Galaxy,,,,,,,,,,,
Kepler-506,1,1,124.825,Condor Galaxy,,,,,,,,,,,
Kepler-507,1,1,19.132,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-508,1,1,218.481,Cosmos Redshift 7,,,,,,,,,,,
Kepler-509,1,1,171.209,Godzilla Galaxy,,,,,,,,,,,
Kepler-51,1,4,72.347,Circinus Galaxy,,,,,,,,,,,
Kepler-510,1,1,100.312,Large Magellanic Cloud,,,,,,,,,,,
Kepler-511,1,2,187.448,Circinus Galaxy,,,,,,,,,,,
Kepler-512,1,1,169.499,Malin 1,,,,,,,,,,,
Kepler-513,1,1,156.074,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-514,2,1,127.858,Helix Galaxy,,,,,,,,,,,
Kepler-515,2,1,270.071,Circinus Galaxy,,,,,,,,,,,
Kepler-516,1,1,178.189,Backward Galaxy,,,,,,,,,,,
Kepler-517,2,1,105.971,Grasshopper,,,,,,,,,,,
Kepler-518,1,1,208.765,Malin 1,,,,,,,,,,,
Kepler-519,2,1,60.579,Sculptor Galaxy,,,,,,,,,,,
Kepler-52,1,3,111.991,Fireworks Galaxy,,,,,,,,,,,
Kepler-520,1,2,258.861,Eye of God,,,,,,,,,,,
Kepler-521,1,1,188.97,Black Eye Galaxy,,,,,,,,,,,
Kepler-522,1,1,45.986,Spiderweb Galaxy,,,,,,,,,,,
Kepler-523,1,1,270.741,Backward Galaxy,,,,,,,,,,,
Kepler-524,1,2,89.081,Spider Galaxy,,,,,,,,,,,
Kepler-525,1,1,161.62,Antennae Galaxies,,,,,,,,,,,
Kepler-526,1,1,159.962,Black Eye Galaxy,,,,,,,,,,,
Kepler-527,1,1,233.278,Mice Galaxies,,,,,,,,,,,
Kepler-528,1,1,262.912,Cigar Galaxy,,,,,,,,,,,
Kepler-529,1,3,117.71,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-53,1,3,16.623,Knife Edge Galaxy,,,,,,,,,,,
Kepler-530,2,1,210.266,Mice Galaxies,,,,,,,,,,,
Kepler-531,1,1,134.752,Backward Galaxy,,,,,,,,,,,
Kepler-532,1,1,138.251,Whale Galaxy,,,,,,,,,,,
Kepler-533,1,1,103.12,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-534,1,2,40.402,Bear Paw Galaxy,,,,,,,,,,,
Kepler-535,1,1,89.11,Pinwheel Galaxy,,,,,,,,,,,
Kepler-536,1,1,167.311,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-537,1,1,134.032,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-538,2,1,130.702,Antennae Galaxies,,,,,,,,,,,
Kepler-539,1,2,183.503,Andromeda Galaxy,,,,,,,,,,,
Kepler-54,1,3,194.015,Cosmos Redshift 7,,,,,,,,,,,
Kepler-540,1,1,147.513,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-541,1,1,40.912,Starfish Galaxy,,,,,,,,,,,
Kepler-542,1,1,284.538,Sombrero Galaxy,,,,,,,,,,,
Kepler-543,1,1,167.296,Starfish Galaxy,,,,,,,,,,,
Kepler-544,1,1,84.549,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-545,1,1,226.583,Grasshopper,,,,,,,,,,,
Kepler-546,1,1,94.46,Blinking Galaxy,,,,,,,,,,,
Kepler-547,1,1,49.53,Small Magellanic Cloud,,,,,,,,,,,
Kepler-548,1,1,155.683,Hidden Galaxy,,,,,,,,,,,
Kepler-549,1,3,169.532,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-55,1,5,107.744,Whale Galaxy,,,,,,,,,,,
Kepler-550,1,1,152.55,Condor Galaxy,,,,,,,,,,,
Kepler-551,1,1,226.513,Spiderweb Galaxy,,,,,,,,,,,
Kepler-552,1,1,156.327,Cartwheel Galaxy,,,,,,,,,,,
Kepler-553,1,2,190.139,Tadpole Galaxy,,,,,,,,,,,
Kepler-554,1,1,189.904,Backward Galaxy,,,,,,,,,,,
Kepler-555,1,1,162.455,Circinus Galaxy,,,,,,,,,,,
Kepler-556,1,1,201.319,Cocoon Galaxy,,,,,,,,,,,
Kepler-557,1,1,3.087,Knife Edge Galaxy,,,,,,,,,,,
Kepler-558,1,1,29.394,Circinus Galaxy,,,,,,,,,,,
Kepler-559,1,1,116.181,Comet Galaxy,,,,,,,,,,,
Kepler-56,1,3,116.383,Hoag's Object,,,,,,,,,,,
Kepler-560,2,1,131.325,Antennae Galaxies,,,,,,,,,,,
Kepler-561,1,2,5.757,Meathook Galaxy,,,,,,,,,,,
Kepler-562,1,1,272.379,Skyrocket Galaxy,,,,,,,,,,,
Kepler-563,1,1,60.119,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-564,1,1,45.118,Condor Galaxy,,,,,,,,,,,
Kepler-565,1,1,214.458,Skyrocket Galaxy,,,,,,,,,,,
Kepler-566,1,1,137.398,Malin 1,,,,,,,,,,,
Kepler-567,1,1,118.215,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-568,1,1,227.774,Helix Galaxy,,,,,,,,,,,
Kepler-569,1,1,297.54,Knife Edge Galaxy,,,,,,,,,,,
Kepler-57,1,2,218.841,Eye of Sauron,,,,,,,,,,,
Kepler-570,1,1,69.997,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-571,1,1,14.452,Condor Galaxy,,,,,,,,,,,
Kepler-572,1,1,20.652,Antennae Galaxies,,,,,,,,,,,
Kepler-573,1,1,97.747,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-574,1,1,295.695,Porpoise Galaxy,,,,,,,,,,,
Kepler-575,1,1,211.263,Porpoise Galaxy,,,,,,,,,,,
Kepler-576,1,1,19.445,Sombrero Galaxy,,,,,,,,,,,
Kepler-577,1,1,157.909,Antennae Galaxies,,,,,,,,,,,
Kepler-578,1,1,71.909,Sculptor Galaxy,,,,,,,,,,,
Kepler-579,1,1,270.345,Barnard's Galaxy,,,,,,,,,,,
Kepler-58,1,4,131.788,Fireworks Galaxy,,,,,,,,,,,
Kepler-580,1,1,259.535,Comet Galaxy,,,,,,,,,,,
Kepler-581,1,1,79.084,Meathook Galaxy,,,,,,,,,,,
Kepler-582,1,1,5.279,Meathook Galaxy,,,,,,,,,,,
Kepler-583,1,1,34.156,Meathook Galaxy,,,,,,,,,,,
Kepler-584,1,1,44.751,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-585,1,1,122.075,Cigar Galaxy,,,,,,,,,,,
Kepler-586,1,1,179.845,Bear Paw Galaxy,,,,,,,,,,,
Kepler-587,1,1,6.743,Fireworks Galaxy,,,,,,,,,,,
Kepler-588,1,1,20.089,Hoag's Object,,,,,,,,,,,
Kepler-589,1,2,200.246,Bear Paw Galaxy,,,,,,,,,,,
Kepler-59,1,2,177.469,Andromeda Galaxy,,,,,,,,,,,
Kepler-590,1,1,66.84,Helix Galaxy,,,,,,,,,,,
Kepler-591,1,1,283.252,Godzilla Galaxy,,,,,,,,,,,
Kepler-592,1,1,167.913,Porphyrion,,,,,,,,,,,
Kepler-593,1,1,234.124,Large Magellanic Cloud,,,,,,,,,,,
Kepler-594,1,1,31.259,Helix Galaxy,,,,,,,,,,,
Kepler-595,1,2,291.952,Cocoon Galaxy,,,,,,,,,,,
Kepler-596,1,1,83.809,Mayall's Object,,,,,,,,,,,
Kepler-597,1,1,151.757,Whirlpool Galaxy,,,,,,,,,,,
Kepler-598,1,2,51.025,Black Eye Galaxy,,,,,,,,,,,
Kepler-599,1,1,161.032,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-6,1,1,188.012,Starfish Galaxy,,,,,,,,,,,
Kepler-60,1,3,260.226,Whirlpool Galaxy,,,,,,,,,,,
Kepler-600,1,1,67.355,Fried Egg Galaxy,,,,,,,,,,,
Kepler-601,1,1,163.18,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-602,1,1,219.711,Whale Galaxy,,,,,,,,,,,
Kepler-603,1,3,144.825,Little Sombrero Galaxy,,,,,,,,,,,
